Area,Sea,ShipName,Date,Month,Year,Cause,Notes,Reason,Latitude,Longitude
Atlantic,Norwegian Sea,U-344,8/22/44,8,1944,Sunk,Sunk by a British aircraft ,Intentional,74.9,15.433
Atlantic,Norwegian Sea,U-347,7/17/44,7,1944,Sunk,Sunk by a British aircraft ,Intentional,68.6,8.55
Atlantic,Norwegian Sea,U-360,4/2/44,4,1944,Sunk,Sunk by HMS Keppel ,Intentional,72.467,13.067
Atlantic,Norwegian Sea,U-361,7/17/44,7,1944,Sunk,Sunk by a British aircraft ,Intentional,68.583,6
Atlantic,Norwegian Sea,U-412,10/22/42,10,1942,Sunk,Sunk by a British aircraft ,Intentional,63.917,0.4
Atlantic,Norwegian Sea,U-423,6/17/44,6,1944,Sunk,Sunk by a Norwegian aircraft,Intentional,63.1,2.083
Atlantic,Norwegian Sea,U-476,5/25/44,5,1944,Others,Attacked by a British aircraft and scuttled by U-990,Intentional,65.133,4.883
Atlantic,Norwegian Sea,U-477,6/3/44,6,1944,Sunk,Sunk by a Canadian aircraft ,Intentional,63.983,1.617
Atlantic,Norwegian Sea,U-478,6/30/44,6,1944,Sunk,Sunk by Allied aircraft ,Intentional,63.45,-0.833
Atlantic,Norwegian Sea,U-601,2/25/44,2,1944,Sunk,Sunk by a British aircraft,Intentional,70.433,12.667
Atlantic,Norwegian Sea,U-644,4/7/43,4,1943,Torpedoed,Torpedoed by HMS Tuna,Intentional,69.633,-5.667
Atlantic,Norwegian Sea,U-674,5/2/44,5,1944,Sunk,Sunk by a British aircraft.,Intentional,70.533,4.617
Atlantic,Norwegian Sea,U-675,5/24/44,5,1944,Sunk,Sunk by a British aircraft.,Intentional,62.45,3.067
Atlantic,Norwegian Sea,U-713,2/24/44,2,1944,Sunk,Sunk by HMS Keppel.,Intentional,69.45,4.883
Atlantic,Norwegian Sea,U-715,6/13/44,6,1944,Sunk,Sunk by a Canadian aircraft.,Intentional,62.917,-2.983
Atlantic,Norwegian Sea,U-867,9/19/44,9,1944,Sunk,Sunk by a British aircraft ,Intentional,62.25,1.833
Atlantic,Norwegian Sea,U-973,3/6/44,3,1944,Sunk,Sunk by British aircraft,Intentional,70.667,5.8
Atlantic,Norwegian Sea,U-989,2/14/45,2,1945,Sunk,Sunk by British ships ,Intentional,61.6,-1.583
Atlantic,Norwegian Sea,U-990,5/25/44,5,1944,Sunk,Sunk by a British aircraft ,Intentional,65.083,7.467
Atlantic,"Saint Helena, Ascension and Tristan da Cunha",RFA Darkdale,10/22/41,10,1941,Torpedoed,Torpedoed by U-68,Intentional,65.083,7.467
